"date","heat","cool"
2012-03-05,5,0
2012-03-06,15,0
2012-03-07,18,0
2012-03-08,13,0
2012-03-09,7,0
2012-03-10,9,0
2012-03-11,13,0
2012-03-12,13,0
2012-03-13,14,0
2012-03-14,12,0
2012-03-15,10,0
2012-03-16,11,0
2012-03-17,16,0
2012-03-18,22,0
2012-03-19,20,0
2012-03-20,16,0
2012-03-21,10,0
2012-03-22,10,0
2012-03-23,12,0
2012-03-24,14,0
2012-03-25,16,0
2012-03-26,16,0
2012-03-27,15,0
2012-03-28,12,0
2012-03-29,10,0
2012-03-30,8,0
2012-03-31,11,0
2012-04-01,15,0
2012-04-02,11,0
2012-04-03,9,0
2012-04-04,11,0
2012-04-05,15,0
2012-04-06,14,0
2012-04-07,9,0
2012-04-08,9,0
2012-04-09,6,0
2012-04-10,11,0
2012-04-11,14,0
2012-04-12,14,0
2012-04-13,16,0
2012-04-14,16,0
2012-04-15,12,0
2012-04-16,8,0
2012-04-17,5,0
2012-04-18,4,0
2012-04-19,2,0
2012-04-20,0,3
2012-04-21,0,5
2012-04-22,0,2
2012-04-23,4,1
2012-04-24,3,0
2012-04-25,2,1
2012-04-26,7,0
2012-04-27,8,0
2012-04-28,4,0
2012-04-29,2,0
2012-04-30,2,0
2012-05-01,6,0
2012-05-02,7,0
2012-05-03,8,0
2012-05-04,7,0
2012-05-05,5,0
2012-05-06,3,0
2012-05-07,1,1
2012-05-08,0,2
2012-05-09,0,3
2012-05-10,1,1
2012-05-11,1,1
2012-05-12,0,1
2012-05-13,1,2
2012-05-14,2,1
2012-05-15,1,0
2012-05-16,0,3
2012-05-17,1,2
2012-05-18,3,0
2012-05-19,1,1
2012-05-20,0,4
2012-05-21,0,4
2012-05-22,1,3
2012-05-23,1,1
2012-05-24,3,0
2012-05-25,9,0
2012-05-26,11,0
2012-05-27,6,0
2012-05-28,3,0
2012-05-29,1,0
2012-05-30,0,1
2012-05-31,0,6
2012-06-01,0,7
2012-06-02,0,5
2012-06-03,0,3
2012-06-04,2,1
2012-06-05,6,0
2012-06-06,3,0
2012-06-07,1,1
2012-06-08,1,1
2012-06-09,2,0
2012-06-10,0,1
2012-06-11,0,4
2012-06-12,0,5
2012-06-13,0,4
2012-06-14,0,3
2012-06-15,0,3
2012-06-16,0,7
2012-06-17,0,9
2012-06-18,0,7
2012-06-19,0,4
2012-06-20,0,5
2012-06-21,0,4
2012-06-22,2,2
2012-06-23,2,1
2012-06-24,2,2
2012-06-25,2,1
2012-06-26,1,2
2012-06-27,0,3
2012-06-28,0,5
2012-06-29,0,5
2012-06-30,0,5
2012-07-01,0,5
2012-07-02,0,5
2012-07-03,0,5
2012-07-04,0,4
2012-07-05,0,4
2012-07-06,0,5
2012-07-07,0,7
2012-07-08,0,8
2012-07-09,0,10
2012-07-10,0,12
2012-07-11,0,13
2012-07-12,0,12
2012-07-13,0,11
2012-07-14,0,7
2012-07-15,0,6
2012-07-16,0,3
2012-07-17,1,2
2012-07-18,0,3
2012-07-19,0,7
2012-07-20,0,9
2012-07-21,0,11
2012-07-22,0,10
2012-07-23,0,9
2012-07-24,0,7
2012-07-25,0,6
2012-07-26,0,5
2012-07-27,0,5
2012-07-28,0,5
2012-07-29,0,6
2012-07-30,0,8
2012-07-31,0,9
2012-08-01,0,10
2012-08-02,0,10
2012-08-03,0,9
2012-08-04,0,7
2012-08-05,0,9
2012-08-06,0,11
2012-08-07,0,13
2012-08-08,0,14
2012-08-09,0,14
2012-08-10,0,15
2012-08-11,0,15
2012-08-12,0,16
2012-08-13,0,15
2012-08-14,0,15
2012-08-15,0,12
2012-08-16,0,13
2012-08-17,0,13
2012-08-18,0,14
2012-08-19,0,12
2012-08-20,0,12
2012-08-21,0,10
2012-08-22,0,9
2012-08-23,0,8
2012-08-24,0,8
2012-08-25,0,7
2012-08-26,0,5
2012-08-27,0,7
2012-08-28,0,9
2012-08-29,0,11
2012-08-30,0,11
2012-08-31,0,7
2012-09-01,0,5
2012-09-02,0,7
2012-09-03,0,9
2012-09-04,0,10
2012-09-05,0,9
2012-09-06,0,9
2012-09-07,0,9
2012-09-08,0,10
2012-09-09,0,11
2012-09-10,0,9
2012-09-11,0,6
2012-09-12,0,8
2012-09-13,0,10
2012-09-14,0,12
2012-09-15,0,12
2012-09-16,0,9
2012-09-17,0,6
2012-09-18,0,6
2012-09-19,0,7
2012-09-20,0,9
2012-09-21,0,9
2012-09-22,0,10
2012-09-23,0,11
2012-09-24,0,7
2012-09-25,0,4
2012-09-26,0,4
2012-09-27,0,6
2012-09-28,0,7
2012-09-29,0,8
2012-09-30,0,11
2012-10-01,0,13
2012-10-02,0,13
2012-10-03,0,9
2012-10-04,0,4
2012-10-05,0,2
2012-10-06,1,2
2012-10-07,1,2
2012-10-08,2,1
2012-10-09,3,0
2012-10-10,4,0
2012-10-11,7,0
2012-10-12,8,0
2012-10-13,4,0
2012-10-14,1,2
2012-10-15,0,4
2012-10-16,0,6
2012-10-17,0,7
2012-10-18,0,6
2012-10-19,0,3
2012-10-20,2,0
2012-10-21,5,0
2012-10-22,8,0
2012-10-23,10,0
2012-10-24,10,0
2012-10-25,7,0
2012-10-26,4,0
2012-10-27,2,2
2012-10-28,1,2
2012-10-29,1,1
2012-10-30,1,0
2012-10-31,4,0
2012-11-01,7,0
2012-11-02,7,0
2012-11-03,4,0
2012-11-04,1,2
2012-11-05,1,4
2012-11-06,1,3
2012-11-07,2,0
2012-11-08,10,0
